d100,Entry
36,(Do/Do not) Cross the Mountain!
37,(1d10) Stars Mark the Path!
38,The Moon Shines Brightest to Those in Her Favor.
39,"Speak Not The Name Unspoken; They Listen, Always."
40,"Beware, for the Great Gyre is Nigh; The Slouching Beast Will Soon Arrive!"
41,Swords Shall Pierce Thine Heart; Pin Thy Love Lest It Be Lost.
42,Three Crones Shall Visit Thee and Thier Lights Shall Reveal the Truth of What Thou Doth Seek!
43,Keep a Candle Burning; Lest The Dark Take Even Your Fears Away.
44,Build Not Houses of White Stone.
45,"Three Coins Must Ye Pay; Three Prices Dear, Secrets Thrice Revealed, ‘ere The Light of Day."
46,"Gold, Silver, Copper; Never in the Opposite Order!"
47,Spill Forth a Dram for the Lost; Make Merry in the Name of Those Who Pay the Highest Price!
48,You Must Seek the Leaf that Grows Not On Any Tree!
49,Jump the Broom; Dance above the Blades!
50,"Sphinx of Black Quartz, Judge Thy Vow."
51,Seek the Egg of Stone; Face the Dragon!
52,"Your nights will grow colder still, to match the heat of growing fires."
53,"Trust the twin with no siblings, but abhor the lone child."
54,The face of the one you seek is thus- a busker at dawn; a composer at noon; a patron at dusk; a maestro under the stars.
55,"Your money, here, have it back. The fortune you’ve asked me to read, never shall I speak of it in this life or any hereafter."
56,A wilting lineage droops to shadowy lows. What the rotten fruit begets chokes out the tree of its birth.
57,Beware! Blessings from above may actually be curses from below!
58,A helping hand will come from an unlikely place. Trust it at your own peril.
59,When the leaves fall from the trees so too shall the stars fall from the sky.
60,The wisest men envy the grave.
61,The poison of the moon lies only once.
62,There be dragons in ye head. Make sure to feed them.
63,The treasure you are looking for is in the fruit.
64,"Poorly-dresed skanks like you will die alone. Naked, and alone. (Works best in an arctic setting, or not.)"
65,"Never bring upon yourself the wrath of the chicken. You may think this a metaphor, but it is not. Their beaks are sharp like my toes."
66,Your hands will taste of orange in the near future.
67,That which you hold most dear will turn against you and lead you to ruin
68,"Your actions have had unintended and unforeseeable consequences, and have placed into action the final piece of that which now approaches you. You are the harbinger of your own death"
69,The thoughts you have had but not put into action are leading you down a path to your own undoing
70,The fall of slow rain upon the barren field will lead you to the house which shelters your destiny
71,Steel your heart for darkness ahead. Your betrayal has already happened though you do not yet know it.
72,Seek ye the good behind the bad and beware the bad behind the good.
73,"Never lick a horse in the mouth, they bite."
74,A Fall is Coming; Winter Just Round the Bend; Enjoy Spring; Summer Shall Bring An End!
75,"Let Not Cold Enter Your Heart, For Then Only Love Can Drive It Out!"
76,The black sky will shield you from your enemies. Travel by night.
77,The rope with which you climb may also hang you if you are not careful.
78,You will be an old man/woman by the time your quest is complete.
79,Fools will take great heed of your words. Use this to your advantage.
80,A shrewd and very attractive fortune teller has put a curse on you. I will remove it for an additional sum.
81,Trust not the travelers numbering odd.
82,"Take something old, give something new, doubt something red, trust something blue."
83,"Left at the stream, at the face look right, crawl through the dark, and you will find the light!"
84,"Salt thy wounds, relish the sting, sweet is the knave, and bold is the king."
85,"Thrice will call the raven, heed its warn lest the fourth cry your dirge."
86,"Between silver and gold, choose evil’s bane. Between fire and chill, the lady’s kiss."
87,"The shadow of the dragon is an omen, but coming of the wolf is the sign."
88,"Begrudge not the thieving monkey, lest you take its place in the tiger’s jaws."
89,"Lay not your head in the barn animals’ bed, for the headsman soon calls."
90,"A copper for the maid, a silver to the beggar, and a gold for a lonely tune, may the vault of riches open to you."
91,"Someone you remember, someone you forget, someone with a favor, another with a threat."
92,"Poor fortune for ye, unless you confess your guilt to the willow tree."
93,Your luck is a shame until you trade with your mate who has one of the same.
94,A fortune most cold if you do as you’re told.
95,"Torch and candle, wax and wick, in the hall of fire, move right quick!"
96,"Look for the priestess, she will bring salvation."
97,An ancient empire will rise from the waves along with ancient secrets.
98,Only when the lovers are reunited can the curse be broken.
99,"As the hermit emerges from hiding, darkness shall soon emerge as well."
100,"Watch for a nobleman in red, for he is a devil in disguise."
