d100,Entry
66,"A tattered ball gown, it’s faded green color and shredded edges indicating its impressive age. It drifts gently through the air as if carried by an invisible wind, moving haphazardly but never touching the room. Attempts to grab the dress automatically fail without the use of magic, the dress always fluttering just out of reach. Once grabbed, the dress stops permanently stops moving and shows no sign of its previously magical nature."
67,"A heavy old tome with yellowed pages and a blank cover. The book does not match the design of the surrounding books, and has a somewhat homemade feel to it. Nearly all the pages are filled with impressively lifelike sketches of an assortment of common folk, each with a smile on their face. All the drawings seem to be situated in the same village, with a single family and house appearing more frequently than any of the others. The members of that family each bear a slight resemblance to the hag."
68,"A severed head taken from a rival long ago. The neck seeps blood from its wound, and constantly softly whispers nigh incoherently, saying all that the witch had learnt from her long-lived life, tales of old, hidden secrets and recipes long forgotten, to name a few."
69,An aged drawing of the current PCs that entered the lair.
70,A goblin in a cage that speaks common eloquently.
71,A large firefly in a cage that will listen to commands. Glows red with the effect of Light.
72,"A life size ""voodoo"" fetish that looks eerily like one of the PCs."
73,"A skeleton on an elaborate wooden throne that will suddenly scream and crumple if a PC approaches it, laying a curse on that PC."
74,A neatly organized tackle box containing a collection of human fingers and toes.
75,A pair of slippers that automatically adjusts to be as comfortable as possible for their wearer.
76,A piece of chalk which when used to write a persons full name causes that person to shiver. It ceases to work once all the chalk is exhausted.
77,"A fancy paper hat which causes the wearer to attract bees, wasps, hornets, and bumblebees, which remain non-hostile until the wearer removed the hat."
78,A glass bottle filled with a foul tasting dark blue liquid. If consumed the liquid convinces the person who consumed it that they are going to die as a result.
79,"A large white table cloth that can be used to set a table. When its command word is spoken it cleans itself of all stains and food, then folds itself into a neat triangle."
80,A decorative wine glass that poisons any liquid inside of it with cyanide when a command word is spoken (cheers).
81,A stack of love letters written in Abyssal penned by a demon who apparently was smitten by the sight of the hag during a planar jaunt. Appears that the interest was unrequited.
82,"A basin of murky water that is constantly scrying a young girl, possibly a changeling. Vials of three colors with a dropper sit on the rim of the basin. Dropping the blue liquid in the basin visits the girl with good luck, red delivers bad luck to a someone near her, but the black inky liquid has no apparent effect."
83,An origami figure of a stork. Has a faint conjuration aura to it.
84,"A broken arrow atop a bottle of rain. Holding the bottle allows you to walk on water. Holding the arrow turns your hand to steel (you do twice the damage of an unarmed strike, but take disadvantage on tasks requiring two hands. You can pry the arrow from your hand—but careful if you take too long both your hands will turn to steel)."
85,"A cage with the skeletal remains of two small humanoids, the hand of one clutching the hand of the other."
86,"Erikkson the Philosophical Scarecrow. This scarecrow sits motionless in a part of the room, but will animate when he deems it necessary. He loves to eat straw (and flesh), and loves to tell riddles. He especially loves it when his riddles win him the flesh of others. But he doesn't cheat. He is a genuine and fair scarecrow. He wont eat any more than has been agreed on. If he says he will play riddles for a PC's hand, then he will keep his word. He also LOVES to talk about the metaphysical nature of the world."
87,"Two voodoo-esque dolls of other hags, with faint magic within, from when she tried to create a coven with the souls of dead hags."
88,"A cauldron that can be used as a ritual focus. When used in ritual magic, the DC goes up 1 per person (limited to 3)."
89,Corrupted rings of resistance (which are cursed to grant vulnerability instead).
90,"A black cat sits curled up on a chair. When you approach, he remains unmoved, and trying to interact with him you find him immovable. If you attempt to sit on him/in the chair, you are cursed by the chair as the cat appears upon your lap and is the same as an immovable rod place on your knees."
91,"There is an alchemy desk with the accouterments you would expect. Eyes in jars, fingers in candlestick holders, with thin wicks coming out of the tips, animal parts, and grisly looking things you don't think about too much. Despite everything, you can't but find yourself feeling extremely hungry while examining it."
92,"The hag's kitchen is a marvel of inventive interior design, with hands that stick out of the walls, as though their owners were forced into the stone itself. The hands hold cups, cutlery, a set of keys, a hat, a dark cloak and hanging vegetables."
93,A severed foot with many different types of moss and fungi growing on it.
94,"A stomach and intestines hung on the wall, with a mouth connected to one end, and the other end leading into a barrel (I don't recommend opening the barrel). It must be fed regularly or it will jump off the wall and begin eating everything."
95,An undead toad in a glass jar with a miniature Sphere of Annihilation in its mouth.
96,"The shadow of a rat on the floor, which moves as a normal rat would. However, there is no rat, not even an invisible one."
97,"A mirror that shows a clown (or some scary thing) standing behind you. It isn't really there, and it doesn't seem to interact with you, but is very creepy."
98,A fist-sized gemstone to which the astral form of a trickster being is bound. Touching it allows you to see and communicate with the being. It begs that you reunite it with it's body.
99,A taxidermy beholder being used as a chandelier.
100,A group of small children trapped in a cage.
